x,y,z,range,velocity,angle,power_abs
0.215322424,0.0340625,0,0.218,0,8.989299345,0.018768311
0.316616389,0.08175,0,0.327,0,14.47751219,0.012084961
0.214133683,0.040875,0,0.218,0.35,10.80692287,0.017196655
0.313800492,0.09196875,0,0.327,0.35,16.33482278,0.011352539
0.212720244,0.0476875,0,0.218,0.7,12.63562509,0.012420654
0.310623107,0.1021875,0,0.327,0.7,18.20995686,0.008392334
0.184692893,0.1158125,0,0.218,66.15,32.08995126,0.009567261
0.204715342,0.0749375,0,0.218,66.5,20.10550979,0.012924194
0.288849197,0.15328125,0,0.327,66.5,27.95318688,0.008178711
0.209200328,0.0613125,0,0.218,66.85,16.33482278,0.015396118
0.29404442,0.1430625,0,0.327,66.85,25.94447977,0.010269165
0.214133683,0.040875,0,0.218,0,10.80692287,0.01524353
0.310623107,0.1021875,0,0.327,0,18.20995686,0.010360718
0.21629017,0.02725,0,0.218,0.35,7.180755781,0.012557983
0.307073012,0.11240625,0,0.327,0.35,20.10550979,0.00894165
0.214133683,0.040875,0,0.218,0.7,10.80692287,0.009399414
0.313800492,0.09196875,0,0.327,0.7,16.33482278,0.00642395
0.184692893,0.1158125,0,0.218,66.15,32.08995126,0.00630188
0.202091409,0.08175,0,0.218,66.5,22.02431284,0.009262085
0.27703934,0.17371875,0,0.327,66.5,32.08995126,0.006378174
0.204715342,0.0749375,0,0.218,66.85,20.10550979,0.010818481
0.29404442,0.1430625,0,0.327,66.85,25.94447977,0.007720947
0.212720244,0.0476875,0,0.218,0,12.63562509,0.010162354
0.283190307,0.1635,0,0.327,0,30,0.007324219
0.21629017,0.02725,0,0.218,0.35,7.180755781,0.007904053
0.218,0,0,0.218,0,0,0.003173828
0.327,0,0,0.327,0,0,0.003143311
0.218,0,0,0.218,0.35,0,0.003845215
0.327,0,0,0.327,0.35,0,0.003326416
0.211077592,0.0545,0,0.218,2.1,14.47751219,0.006164551
0.211077592,0.0545,0,0.218,2.45,14.47751219,0.005691528
1.33E-17,0.218,0,0.218,65.8,90,0.005691528
0.218,0,0,0.218,0.35,0,0.006408691
0.21629017,0.02725,0,0.218,65.8,7.180755781,0.007446289
1.33E-17,0.218,0,0.218,66.15,90,0.00604248
0.218,0,0,0.218,0.35,0,0.006668091
0.214133683,0.040875,0,0.218,0.7,10.80692287,0.008377075
0.215322424,0.0340625,0,0.218,1.05,8.989299345,0.010070801
1.33E-17,0.218,0,0.218,65.8,90,0.009277344
1.33E-17,0.218,0,0.218,66.15,90,0.007293701
0.212720244,0.0476875,0,0.218,0.35,12.63562509,0.008636475
0.215322424,0.0340625,0,0.218,0.7,8.989299345,0.012329102
0.21629017,0.02725,0,0.218,1.05,7.180755781,0.012252808
1.33E-17,0.218,0,0.218,65.8,90,0.008926392
0.214133683,0.040875,0,0.218,0.35,10.80692287,0.01272583
0.215322424,0.0340625,0,0.218,0.7,8.989299345,0.015472412
0.310623107,0.1021875,0,0.327,0.7,18.20995686,0.008834839
0.214133683,0.040875,0,0.218,1.05,10.80692287,0.012496948
0.215322424,0.0340625,0,0.218,0,8.989299345,0.007019043
0.21629017,0.02725,0,0.218,0.35,7.180755781,0.013473511
